,Cell type,X location,Y location,Z location
0,AAC in SO layer,380,460,360
1,AAC in SO layer,340,880,380
2,AAC in SO layer,180,260,320
3,AAC in SO layer,200,200,400
4,OLM in SO layer,200,80,440
5,OLM in SO layer,0,840,340
6,OLM in SO layer,360,540,340
7,OLM in SO layer,160,140,420
8,OLM in SO layer,180,980,420
9,OLM in SO layer,320,340,340
10,OLM in SO layer,360,400,360
11,OLM in SO layer,240,400,440
12,OLM in SO layer,220,140,320
13,OLM in SO layer,380,580,380
14,OLM in SO layer,60,800,340
15,OLM in SO layer,400,500,400
16,OLM in SO layer,140,840,440
17,OLM in SO layer,340,580,340
18,OLM in SO layer,0,900,360
19,OLM in SO layer,100,120,440
20,PV in SO layer,60,200,320
21,PV in SO layer,260,240,400
22,PV in SO layer,200,540,340
23,PV in SO layer,140,80,420
24,PV in SO layer,260,840,340
25,PV in SO layer,60,100,440
26,PV in SO layer,180,560,440
27,PV in SO layer,100,160,320
28,PV in SO layer,260,940,340
29,PV in SO layer,80,980,420
30,PV in SO layer,60,800,400
31,PV in SO layer,260,40,400
32,PV in SO layer,260,240,460
33,Pyr in SP layer,288,192,314
34,Pyr in SP layer,280,848,298
35,Pyr in SP layer,104,664,298
36,Pyr in SP layer,344,176,322
37,Pyr in SP layer,200,736,314
38,Pyr in SP layer,120,552,298
39,Pyr in SP layer,48,800,298
40,Pyr in SP layer,0,464,290
41,Pyr in SP layer,360,880,306
42,Pyr in SP layer,312,784,298
43,Pyr in SP layer,296,576,298
44,Pyr in SP layer,72,160,290
45,Pyr in SP layer,40,264,298
46,Pyr in SP layer,56,504,322
47,Pyr in SP layer,344,944,306
48,Pyr in SP layer,80,640,290
49,Pyr in SP layer,392,472,322
50,Pyr in SP layer,344,808,298
51,Pyr in SP layer,80,320,314
52,Pyr in SP layer,0,232,298
53,Pyr in SP layer,320,888,298
54,Pyr in SP layer,64,112,306
55,Pyr in SP layer,336,888,322
56,Pyr in SP layer,304,408,306
57,Pyr in SP layer,80,776,322
58,Pyr in SP layer,248,512,314
59,Pyr in SP layer,80,456,322
60,Pyr in SP layer,168,112,322
61,Pyr in SP layer,152,848,314
62,Pyr in SP layer,384,1000,322
63,Pyr in SP layer,32,816,298
64,Pyr in SP layer,360,536,306
65,Pyr in SP layer,256,880,290
66,Pyr in SP layer,152,384,314
67,Pyr in SP layer,304,0,322
68,Pyr in SP layer,312,264,290
69,Pyr in SP layer,184,104,298
70,Pyr in SP layer,192,168,290
71,Pyr in SP layer,216,528,298
72,Pyr in SP layer,24,280,314
73,Pyr in SP layer,8,648,298
74,Pyr in SP layer,64,392,314
75,Pyr in SP layer,304,176,290
76,Pyr in SP layer,136,208,322
77,Pyr in SP layer,0,272,298
78,Pyr in SP layer,104,72,314
79,Pyr in SP layer,264,960,298
80,Pyr in SP layer,40,712,290
81,Pyr in SP layer,376,936,322
82,Pyr in SP layer,336,408,306
83,Pyr in SP layer,136,160,322
84,Pyr in SP layer,136,464,298
85,Pyr in SP layer,136,672,306
86,Pyr in SP layer,192,336,290
87,Pyr in SP layer,240,240,314
88,Pyr in SP layer,240,632,322
89,Pyr in SP layer,136,760,290
90,Pyr in SP layer,152,656,314
91,Pyr in SP layer,96,608,314
92,Pyr in SP layer,192,160,314
93,Pyr in SP layer,328,320,306
94,Pyr in SP layer,320,136,298
95,Pyr in SP layer,232,680,314
96,Pyr in SP layer,392,896,306
97,Pyr in SP layer,392,360,290
98,Pyr in SP layer,176,440,290
99,Pyr in SP layer,192,24,290
100,Pyr in SP layer,368,760,298
101,Pyr in SP layer,152,856,322
102,Pyr in SP layer,80,352,322
103,Pyr in SP layer,96,928,306
104,Pyr in SP layer,400,440,322
105,Pyr in SP layer,168,672,306
106,Pyr in SP layer,56,280,290
107,Pyr in SP layer,48,400,306
108,Pyr in SP layer,336,480,290
109,Pyr in SP layer,256,744,306
110,Pyr in SP layer,0,168,298
111,Pyr in SP layer,352,880,322
112,Pyr in SP layer,304,376,314
113,Pyr in SP layer,216,528,322
114,Pyr in SP layer,64,8,298
115,Pyr in SP layer,280,208,322
116,Pyr in SP layer,256,88,306
117,Pyr in SP layer,128,352,290
118,Pyr in SP layer,344,592,322
119,Pyr in SP layer,392,176,306
120,Pyr in SP layer,168,240,290
121,Pyr in SP layer,344,200,322
122,Pyr in SP layer,48,808,298
123,Pyr in SP layer,368,968,290
124,Pyr in SP layer,144,720,322
125,Pyr in SP layer,184,80,306
