,positions0,positions1,positions2,node_group_id,node_group_index,node_id,node_type_id
0,280,100,380,0,0,0,AAC in SO layer
1,400,900,320,0,1,1,AAC in SO layer
2,320,160,340,0,2,2,AAC in SO layer
3,80,140,420,0,3,3,AAC in SO layer
4,300,160,320,0,4,4,AAC in SO layer
5,80,100,420,0,5,5,AAC in SO layer
6,220,900,320,0,6,6,AAC in SO layer
7,300,180,360,0,7,7,AAC in SO layer
8,360,160,340,0,8,8,AAC in SO layer
9,400,580,460,0,9,9,AAC in SO layer
10,60,620,360,0,10,10,AAC in SO layer
11,260,780,360,0,11,11,AAC in SO layer
12,340,140,400,0,12,12,AAC in SO layer
13,80,180,380,0,13,13,AAC in SO layer
14,80,760,380,0,14,14,AAC in SO layer
15,120,720,460,0,15,15,AAC in SO layer
16,140,600,380,0,16,16,AAC in SO layer
17,180,920,380,0,17,17,AAC in SO layer
18,240,160,460,0,18,18,AAC in SO layer
19,160,820,420,0,19,19,AAC in SO layer
20,0,160,440,0,20,20,OLM in SO layer
21,220,520,440,0,21,21,OLM in SO layer
22,380,660,360,0,22,22,OLM in SO layer
23,200,720,460,0,23,23,OLM in SO layer
24,300,200,380,0,24,24,OLM in SO layer
25,200,540,460,0,25,25,OLM in SO layer
26,400,760,420,0,26,26,OLM in SO layer
27,0,160,360,0,27,27,OLM in SO layer
28,220,400,380,0,28,28,OLM in SO layer
29,200,960,380,0,29,29,OLM in SO layer
30,140,360,420,0,30,30,OLM in SO layer
31,220,0,460,0,31,31,OLM in SO layer
32,320,940,340,0,32,32,OLM in SO layer
33,0,120,340,0,33,33,OLM in SO layer
34,40,200,360,0,34,34,OLM in SO layer
35,360,400,440,0,35,35,OLM in SO layer
36,40,300,340,0,36,36,OLM in SO layer
37,200,240,440,0,37,37,OLM in SO layer
38,220,640,420,0,38,38,OLM in SO layer
39,280,460,340,0,39,39,OLM in SO layer
40,300,720,440,0,40,40,OLM in SO layer
41,280,360,380,0,41,41,OLM in SO layer
42,400,840,440,0,42,42,OLM in SO layer
43,0,760,440,0,43,43,OLM in SO layer
44,120,60,340,0,44,44,OLM in SO layer
45,180,80,460,0,45,45,OLM in SO layer
46,240,520,440,0,46,46,OLM in SO layer
47,60,320,320,0,47,47,OLM in SO layer
48,340,320,400,0,48,48,OLM in SO layer
49,60,420,460,0,49,49,OLM in SO layer
50,40,180,400,0,50,50,OLM in SO layer
51,320,300,380,0,51,51,OLM in SO layer
52,140,900,360,0,52,52,OLM in SO layer
53,340,980,340,0,53,53,OLM in SO layer
54,40,640,440,0,54,54,OLM in SO layer
55,300,660,340,0,55,55,OLM in SO layer
56,220,280,360,0,56,56,OLM in SO layer
57,340,820,340,0,57,57,OLM in SO layer
58,340,480,440,0,58,58,OLM in SO layer
59,200,600,340,0,59,59,OLM in SO layer
60,340,140,340,0,60,60,OLM in SO layer
61,340,620,360,0,61,61,OLM in SO layer
62,360,220,400,0,62,62,OLM in SO layer
63,120,860,320,0,63,63,OLM in SO layer
64,200,980,460,0,64,64,OLM in SO layer
65,80,200,420,0,65,65,OLM in SO layer
66,200,400,340,0,66,66,OLM in SO layer
67,240,760,420,0,67,67,OLM in SO layer
68,300,200,320,0,68,68,OLM in SO layer
69,360,860,360,0,69,69,OLM in SO layer
70,140,340,320,0,70,70,OLM in SO layer
71,380,1000,400,0,71,71,OLM in SO layer
72,140,460,440,0,72,72,OLM in SO layer
73,240,620,440,0,73,73,OLM in SO layer
74,240,620,380,0,74,74,OLM in SO layer
75,320,240,400,0,75,75,OLM in SO layer
76,260,20,320,0,76,76,OLM in SO layer
77,400,600,400,0,77,77,OLM in SO layer
78,240,560,320,0,78,78,OLM in SO layer
79,200,760,460,0,79,79,OLM in SO layer
80,0,0,320,0,80,80,OLM in SO layer
81,40,900,440,0,81,81,OLM in SO layer
82,60,760,440,0,82,82,OLM in SO layer
83,240,40,340,0,83,83,OLM in SO layer
84,380,80,320,0,84,84,OLM in SO layer
85,0,180,360,0,85,85,OLM in SO layer
86,20,40,320,0,86,86,OLM in SO layer
87,0,580,320,0,87,87,OLM in SO layer
88,140,780,460,0,88,88,OLM in SO layer
89,160,680,360,0,89,89,OLM in SO layer
90,20,980,360,0,90,90,OLM in SO layer
91,400,480,320,0,91,91,OLM in SO layer
92,380,1000,320,0,92,92,OLM in SO layer
93,320,860,400,0,93,93,OLM in SO layer
94,160,920,340,0,94,94,OLM in SO layer
95,40,600,400,0,95,95,OLM in SO layer
96,220,940,340,0,96,96,OLM in SO layer
97,280,160,340,0,97,97,OLM in SO layer
98,40,460,380,0,98,98,OLM in SO layer
99,400,20,380,0,99,99,OLM in SO layer
100,100,540,320,0,100,100,OLM in SO layer
101,340,420,460,0,101,101,OLM in SO layer
102,220,720,420,0,102,102,OLM in SO layer
103,160,440,440,0,103,103,OLM in SO layer
104,380,120,380,0,104,104,OLM in SO layer
105,400,40,360,0,105,105,OLM in SO layer
106,40,600,460,0,106,106,OLM in SO layer
107,180,560,320,0,107,107,OLM in SO layer
108,220,100,460,0,108,108,OLM in SO layer
109,380,760,440,0,109,109,OLM in SO layer
110,180,820,380,0,110,110,OLM in SO layer
111,400,700,440,0,111,111,OLM in SO layer
112,180,960,340,0,112,112,OLM in SO layer
113,220,920,420,0,113,113,OLM in SO layer
114,320,620,320,0,114,114,OLM in SO layer
115,340,400,360,0,115,115,PV in SO layer
116,140,520,380,0,116,116,PV in SO layer
117,0,560,440,0,117,117,PV in SO layer
118,80,340,400,0,118,118,PV in SO layer
119,180,760,420,0,119,119,PV in SO layer
120,100,480,320,0,120,120,PV in SO layer
121,120,220,400,0,121,121,PV in SO layer
122,300,240,420,0,122,122,PV in SO layer
123,300,460,440,0,123,123,PV in SO layer
124,340,280,460,0,124,124,PV in SO layer
125,180,1000,340,0,125,125,PV in SO layer
126,220,180,440,0,126,126,PV in SO layer
127,160,240,320,0,127,127,PV in SO layer
128,240,220,400,0,128,128,PV in SO layer
129,220,140,440,0,129,129,PV in SO layer
130,240,140,360,0,130,130,PV in SO layer
131,0,300,400,0,131,131,PV in SO layer
132,80,880,460,0,132,132,PV in SO layer
133,80,740,460,0,133,133,PV in SO layer
134,340,920,440,0,134,134,PV in SO layer
135,80,20,340,0,135,135,PV in SO layer
136,220,420,320,0,136,136,PV in SO layer
137,380,500,360,0,137,137,PV in SO layer
138,280,740,360,0,138,138,PV in SO layer
139,340,980,320,0,139,139,PV in SO layer
140,360,720,460,0,140,140,PV in SO layer
141,120,720,320,0,141,141,PV in SO layer
142,380,180,340,0,142,142,PV in SO layer
143,120,440,320,0,143,143,PV in SO layer
144,380,520,340,0,144,144,PV in SO layer
145,180,780,460,0,145,145,PV in SO layer
146,320,280,320,0,146,146,PV in SO layer
147,200,20,320,0,147,147,PV in SO layer
148,380,620,460,0,148,148,PV in SO layer
149,360,440,460,0,149,149,PV in SO layer
150,380,700,420,0,150,150,PV in SO layer
151,360,440,420,0,151,151,PV in SO layer
152,0,900,340,0,152,152,PV in SO layer
153,280,60,340,0,153,153,PV in SO layer
154,360,100,440,0,154,154,PV in SO layer
155,240,420,460,0,155,155,PV in SO layer
156,400,280,440,0,156,156,PV in SO layer
157,320,160,320,0,157,157,PV in SO layer
158,100,460,400,0,158,158,PV in SO layer
159,80,40,360,0,159,159,PV in SO layer
160,100,960,420,0,160,160,PV in SO layer
161,20,660,360,0,161,161,PV in SO layer
162,120,920,400,0,162,162,PV in SO layer
163,120,200,440,0,163,163,PV in SO layer
164,260,840,440,0,164,164,PV in SO layer
165,20,660,400,0,165,165,PV in SO layer
166,160,120,340,0,166,166,PV in SO layer
167,260,900,360,0,167,167,PV in SO layer
168,240,20,380,0,168,168,PV in SO layer
169,380,560,360,0,169,169,PV in SO layer
170,260,260,320,0,170,170,PV in SO layer
171,60,640,400,0,171,171,PV in SO layer
172,300,420,400,0,172,172,PV in SO layer
173,140,240,340,0,173,173,PV in SO layer
174,280,380,460,0,174,174,PV in SO layer
175,300,580,460,0,175,175,PV in SO layer
176,160,260,360,0,176,176,PV in SO layer
177,280,220,400,0,177,177,PV in SO layer
178,40,60,460,0,178,178,PV in SO layer
179,360,360,440,0,179,179,PV in SO layer
180,260,120,320,0,180,180,PV in SO layer
181,400,380,420,0,181,181,PV in SO layer
182,200,320,360,0,182,182,PV in SO layer
183,240,0,400,0,183,183,PV in SO layer
184,100,600,420,0,184,184,PV in SO layer
185,140,240,320,0,185,185,PV in SO layer
186,100,100,460,0,186,186,PV in SO layer
187,20,660,440,0,187,187,PV in SO layer
188,40,940,380,0,188,188,PV in SO layer
189,300,280,340,0,189,189,PV in SO layer
190,340,40,360,0,190,190,PV in SO layer
191,392,24,290,0,191,191,Pyr in SP layer
192,400,664,306,0,192,192,Pyr in SP layer
193,208,400,298,0,193,193,Pyr in SP layer
194,144,960,306,0,194,194,Pyr in SP layer
195,184,432,314,0,195,195,Pyr in SP layer
196,120,104,306,0,196,196,Pyr in SP layer
197,168,448,306,0,197,197,Pyr in SP layer
198,64,72,290,0,198,198,Pyr in SP layer
199,184,112,322,0,199,199,Pyr in SP layer
200,80,792,290,0,200,200,Pyr in SP layer
201,128,480,298,0,201,201,Pyr in SP layer
202,192,912,306,0,202,202,Pyr in SP layer
203,104,1000,290,0,203,203,Pyr in SP layer
204,152,864,306,0,204,204,Pyr in SP layer
205,88,280,306,0,205,205,Pyr in SP layer
206,200,632,290,0,206,206,Pyr in SP layer
207,240,488,322,0,207,207,Pyr in SP layer
208,24,976,298,0,208,208,Pyr in SP layer
209,16,520,290,0,209,209,Pyr in SP layer
210,312,600,298,0,210,210,Pyr in SP layer
211,48,296,298,0,211,211,Pyr in SP layer
212,56,888,306,0,212,212,Pyr in SP layer
213,344,896,298,0,213,213,Pyr in SP layer
