,positions0,positions1,positions2,node_group_id,node_group_index,node_id,node_type_id
0,120,360,380,0,0,0,AAC in SO layer
1,140,140,420,0,1,1,AAC in SO layer
2,0,640,460,0,2,2,AAC in SO layer
3,180,720,320,0,3,3,AAC in SO layer
4,300,860,460,0,4,4,AAC in SO layer
5,340,220,360,0,5,5,AAC in SO layer
6,240,460,440,0,6,6,AAC in SO layer
7,300,240,340,0,7,7,AAC in SO layer
8,300,600,380,0,8,8,AAC in SO layer
9,100,920,420,0,9,9,AAC in SO layer
10,200,760,400,0,10,10,AAC in SO layer
11,380,700,320,0,11,11,AAC in SO layer
12,20,800,360,0,12,12,AAC in SO layer
13,180,240,400,0,13,13,AAC in SO layer
14,400,100,440,0,14,14,AAC in SO layer
15,240,180,320,0,15,15,AAC in SO layer
16,340,400,380,0,16,16,AAC in SO layer
17,260,200,420,0,17,17,AAC in SO layer
18,180,80,460,0,18,18,AAC in SO layer
19,140,820,320,0,19,19,AAC in SO layer
20,400,540,420,0,20,20,AAC in SO layer
21,200,400,320,0,21,21,AAC in SO layer
22,380,80,320,0,22,22,AAC in SO layer
23,220,520,380,0,23,23,AAC in SO layer
24,340,100,380,0,24,24,AAC in SO layer
25,300,620,400,0,25,25,AAC in SO layer
26,20,760,440,0,26,26,AAC in SO layer
27,100,340,420,0,27,27,AAC in SO layer
28,200,620,420,0,28,28,AAC in SO layer
29,260,360,320,0,29,29,AAC in SO layer
30,20,40,400,0,30,30,AAC in SO layer
31,260,940,380,0,31,31,AAC in SO layer
32,20,600,320,0,32,32,AAC in SO layer
33,0,440,340,0,33,33,AAC in SO layer
34,20,860,320,0,34,34,AAC in SO layer
35,220,0,460,0,35,35,AAC in SO layer
36,40,140,360,0,36,36,AAC in SO layer
37,260,660,380,0,37,37,AAC in SO layer
38,180,240,380,0,38,38,AAC in SO layer
39,60,200,360,0,39,39,AAC in SO layer
40,140,560,420,0,40,40,AAC in SO layer
41,200,560,420,0,41,41,AAC in SO layer
42,300,1000,460,0,42,42,AAC in SO layer
43,340,660,380,0,43,43,AAC in SO layer
44,260,800,420,0,44,44,AAC in SO layer
45,320,320,360,0,45,45,AAC in SO layer
46,120,460,380,0,46,46,AAC in SO layer
47,0,780,340,0,47,47,AAC in SO layer
48,20,320,420,0,48,48,AAC in SO layer
49,100,480,340,0,49,49,AAC in SO layer
50,360,600,460,0,50,50,AAC in SO layer
51,280,140,460,0,51,51,AAC in SO layer
52,80,900,420,0,52,52,AAC in SO layer
53,240,100,400,0,53,53,AAC in SO layer
54,120,340,380,0,54,54,AAC in SO layer
55,20,460,320,0,55,55,AAC in SO layer
56,200,580,460,0,56,56,AAC in SO layer
57,400,20,380,0,57,57,AAC in SO layer
58,300,800,460,0,58,58,AAC in SO layer
59,20,640,380,0,59,59,AAC in SO layer
60,320,120,360,0,60,60,AAC in SO layer
61,400,140,420,0,61,61,AAC in SO layer
62,400,40,360,0,62,62,AAC in SO layer
63,260,600,460,0,63,63,AAC in SO layer
64,20,600,380,0,64,64,AAC in SO layer
65,120,960,380,0,65,65,AAC in SO layer
66,20,180,360,0,66,66,AAC in SO layer
67,260,160,340,0,67,67,AAC in SO layer
68,380,740,460,0,68,68,AAC in SO layer
69,220,620,320,0,69,69,AAC in SO layer
70,360,60,460,0,70,70,AAC in SO layer
71,280,200,320,0,71,71,AAC in SO layer
72,180,520,420,0,72,72,AAC in SO layer
73,320,500,320,0,73,73,AAC in SO layer
74,360,840,380,0,74,74,AAC in SO layer
75,120,60,320,0,75,75,AAC in SO layer
76,400,940,360,0,76,76,AAC in SO layer
77,360,480,420,0,77,77,AAC in SO layer
78,160,180,380,0,78,78,AAC in SO layer
79,240,40,320,0,79,79,AAC in SO layer
80,240,160,340,0,80,80,AAC in SO layer
81,0,300,440,0,81,81,AAC in SO layer
82,20,180,400,0,82,82,AAC in SO layer
83,240,560,320,0,83,83,AAC in SO layer
84,200,580,400,0,84,84,AAC in SO layer
85,140,440,380,0,85,85,AAC in SO layer
86,320,480,380,0,86,86,AAC in SO layer
87,340,760,440,0,87,87,AAC in SO layer
88,280,980,380,0,88,88,AAC in SO layer
89,60,860,420,0,89,89,AAC in SO layer
90,160,980,340,0,90,90,AAC in SO layer
91,20,200,320,0,91,91,AAC in SO layer
92,400,160,360,0,92,92,AAC in SO layer
93,80,380,360,0,93,93,AAC in SO layer
94,160,940,380,0,94,94,AAC in SO layer
95,200,160,320,0,95,95,AAC in SO layer
96,160,360,320,0,96,96,AAC in SO layer
97,160,920,460,0,97,97,AAC in SO layer
98,160,760,440,0,98,98,AAC in SO layer
99,180,640,460,0,99,99,AAC in SO layer
100,360,580,360,0,100,100,AAC in SO layer
101,100,100,320,0,101,101,AAC in SO layer
102,240,740,420,0,102,102,AAC in SO layer
103,300,160,340,0,103,103,AAC in SO layer
104,120,740,460,0,104,104,AAC in SO layer
105,0,900,400,0,105,105,AAC in SO layer
106,20,40,320,0,106,106,AAC in SO layer
107,360,920,460,0,107,107,AAC in SO layer
108,140,960,420,0,108,108,AAC in SO layer
109,260,400,380,0,109,109,AAC in SO layer
110,320,20,400,0,110,110,AAC in SO layer
111,220,100,440,0,111,111,AAC in SO layer
112,100,780,440,0,112,112,AAC in SO layer
113,380,560,420,0,113,113,AAC in SO layer
114,260,720,440,0,114,114,AAC in SO layer
115,120,420,320,0,115,115,AAC in SO layer
116,200,520,380,0,116,116,AAC in SO layer
117,140,340,400,0,117,117,AAC in SO layer
118,160,480,440,0,118,118,AAC in SO layer
119,180,540,400,0,119,119,AAC in SO layer
120,200,280,440,0,120,120,AAC in SO layer
121,300,280,380,0,121,121,AAC in SO layer
122,320,140,440,0,122,122,AAC in SO layer
123,180,720,420,0,123,123,AAC in SO layer
124,180,280,460,0,124,124,AAC in SO layer
125,40,100,460,0,125,125,AAC in SO layer
126,60,540,420,0,126,126,AAC in SO layer
127,280,820,440,0,127,127,AAC in SO layer
128,360,760,420,0,128,128,AAC in SO layer
129,140,980,400,0,129,129,AAC in SO layer
130,400,100,460,0,130,130,AAC in SO layer
131,160,600,400,0,131,131,AAC in SO layer
132,40,120,460,0,132,132,AAC in SO layer
133,300,300,340,0,133,133,AAC in SO layer
134,0,320,380,0,134,134,AAC in SO layer
135,120,600,440,0,135,135,AAC in SO layer
136,280,860,340,0,136,136,AAC in SO layer
137,0,0,320,0,137,137,AAC in SO layer
138,280,620,340,0,138,138,AAC in SO layer
139,380,640,460,0,139,139,AAC in SO layer
140,380,960,400,0,140,140,AAC in SO layer
141,320,420,400,0,141,141,AAC in SO layer
142,320,80,320,0,142,142,AAC in SO layer
143,260,160,400,0,143,143,AAC in SO layer
144,260,20,320,0,144,144,AAC in SO layer
145,280,900,460,0,145,145,AAC in SO layer
146,160,400,440,0,146,146,AAC in SO layer
147,80,900,460,0,147,147,AAC in SO layer
148,40,420,400,0,148,148,AAC in SO layer
149,120,680,400,0,149,149,AAC in SO layer
150,380,120,340,0,150,150,AAC in SO layer
151,280,560,320,0,151,151,AAC in SO layer
152,320,880,460,0,152,152,AAC in SO layer
153,0,160,340,0,153,153,AAC in SO layer
154,300,700,440,0,154,154,AAC in SO layer
155,300,300,440,0,155,155,AAC in SO layer
156,40,120,340,0,156,156,OLM in SO layer
157,260,720,400,0,157,157,OLM in SO layer
158,40,260,380,0,158,158,OLM in SO layer
159,360,240,400,0,159,159,OLM in SO layer
160,280,1000,440,0,160,160,OLM in SO layer
161,60,360,380,0,161,161,OLM in SO layer
162,80,380,460,0,162,162,OLM in SO layer
163,160,340,340,0,163,163,OLM in SO layer
164,380,260,440,0,164,164,OLM in SO layer
165,0,140,460,0,165,165,OLM in SO layer
166,160,320,440,0,166,166,OLM in SO layer
167,100,640,400,0,167,167,OLM in SO layer
168,60,560,340,0,168,168,OLM in SO layer
169,300,40,380,0,169,169,OLM in SO layer
170,240,720,460,0,170,170,OLM in SO layer
171,240,140,440,0,171,171,OLM in SO layer
172,200,20,360,0,172,172,OLM in SO layer
173,220,860,320,0,173,173,OLM in SO layer
174,60,240,400,0,174,174,OLM in SO layer
175,360,320,400,0,175,175,OLM in SO layer
176,0,420,380,0,176,176,OLM in SO layer
177,100,60,460,0,177,177,OLM in SO layer
178,300,460,460,0,178,178,OLM in SO layer
179,120,120,440,0,179,179,OLM in SO layer
180,0,280,360,0,180,180,OLM in SO layer
181,200,520,420,0,181,181,OLM in SO layer
182,280,320,420,0,182,182,OLM in SO layer
183,220,500,460,0,183,183,OLM in SO layer
184,300,980,440,0,184,184,OLM in SO layer
185,280,240,320,0,185,185,OLM in SO layer
186,80,120,320,0,186,186,OLM in SO layer
187,200,220,380,0,187,187,OLM in SO layer
188,260,180,320,0,188,188,OLM in SO layer
189,360,960,460,0,189,189,OLM in SO layer
